MedCodeId,Term,Observations,SNOMED_CT_Concept_ID,READcode,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,VF
95458,Malignant neoplasm of nasal bone,,,B300300,,,,,,,,
55953,Malignant neoplasm of occipital bone,,,B300400,,,,,,,,
50298,Malignant neoplasm of orbital bone,,,B300500,,,,,,,,
54747,Malignant neoplasm of parietal bone,,,B300600,,,,,,,,
55595,Malignant neoplasm of sphenoid bone,,,B300700,,,,,,,,
62104,Malignant neoplasm of temporal bone,,,B300800,,,,,,,,
50299,Malignant neoplasm of zygomatic bone,,,B300900,,,,,,,,
17475,Malignant neoplasm of maxilla,,,B300A00,,,,,,,,
96445,Malignant neoplasm of turbinate,,,B300B00,,,,,,,,
44452,Malignant neoplasm of vomer,,,B300C00,,,,,,,,
69146,Malignant neoplasm of bones of skull and face NOS,,,B300z00,,,,,,,,
33833,Malignant neoplasm of mandible,,,B301.00,,,,,,,,
16704,Malignant neoplasm of vertebral column,,,B302.00,,,,,,,,
46939,Malignant neoplasm of cervical vertebra,,,B302000,,,,,,,,
32372,Malignant neoplasm of thoracic vertebra,,,B302100,,,,,,,,
54691,Malignant neoplasm of lumbar vertebra,,,B302200,,,,,,,,
49701,Malignant neoplasm of vertebral column NOS,,,B302z00,,,,,,,,
27528,"Malignant neoplasm of ribs, sternum and clavicle",,,B303.00,,,,,,,,
37842,Malignant neoplasm of rib,,,B303000,,,,,,,,
49491,Malignant neoplasm of sternum,,,B303100,,,,,,,,
66639,Malignant neoplasm of clavicle,,,B303200,,,,,,,,
60403,Malignant neoplasm of costal cartilage,,,B303300,,,,,,,,
67763,Malignant neoplasm of costo-vertebral joint,,,B303400,,,,,,,,
54493,Malignant neoplasm of xiphoid process,,,B303500,,,,,,,,
51237,"Malignant neoplasm of rib, sternum and clavicle NOS",,,B303z00,,,,,,,,
71810,Malignant neoplasm of scapula and long bones of upper arm,,,B304.00,,,,,,,,
49054,Malignant neoplasm of scapula,,,B304000,,,,,,,,
61741,Malignant neoplasm of humerus,,,B304200,,,,,,,,
92371,Malignant neoplasm of radius,,,B304300,,,,,,,,
64848,Malignant neoplasm of ulna,,,B304400,,,,,,,,
65880,Malig neop of scapula and long bones of upper arm NOS,,,B304z00,,,,,,,,
73530,Malignant neoplasm of hand bones,,,B305.00,,,,,,,,
72464,Malignant neoplasm of metacarpal bones,,,B305.12,,,,,,,,
57988,Malignant neoplasm of carpal bone - scaphoid,,,B305000,,,,,,,,
69104,Malignant neoplasm of carpal bone - lunate,,,B305100,,,,,,,,
94427,Malignant neoplasm of fifth metacarpal bone,,,B305C00,,,,,,,,
86812,Malignant neoplasm of phalanges of hand,,,B305D00,,,,,,,,
73556,Malignant neoplasm of hand bones NOS,,,B305z00,,,,,,,,
54631,"Malignant neoplasm of pelvic bones, sacrum and coccyx",,,B306.00,,,,,,,,
44609,Malignant neoplasm of ilium,,,B306000,,,,,,,,
59223,Malignant neoplasm of ischium,,,B306100,,,,,,,,
51921,Malignant neoplasm of pubis,,,B306200,,,,,,,,
40966,Malignant neoplasm of sacral vertebra,,,B306300,,,,,,,,
66908,Malignant neoplasm of coccygeal vertebra,,,B306400,,,,,,,,
50152,Malignant sacral teratoma,,,B306500,,,,,,,,
38938,"Malignant neoplasm of pelvis, sacrum or coccyx NOS",,,B306z00,,,,,,,,
68055,Malignant neoplasm of long bones of leg,,,B307.00,,,,,,,,
56513,Malignant neoplasm of femur,,,B307000,,,,,,,,
50402,Malignant neoplasm of fibula,,,B307100,,,,,,,,
40814,Malignant neoplasm of tibia,,,B307200,,,,,,,,
62630,Malignant neoplasm of long bones of leg NOS,,,B307z00,,,,,,,,
95182,Malignant neoplasm of talus,,,B308100,,,,,,,,
72212,Malignant neoplasm of calcaneum,,,B308200,,,,,,,,
34878,Malignant neoplasm of medial cuneiform,,,B308300,,,,,,,,
69927,Malignant neoplasm of first metatarsal bone,,,B308800,,,,,,,,
92382,Malignant neoplasm of fourth metatarsal bone,,,B308B00,,,,,,,,
58949,Malignant neoplasm of phalanges of foot,,,B308D00,,,,,,,,
103354,Malignant neoplasm of short bones of leg NOS,,,B308z00,,,,,,,,
67451,Malignant neoplasm/overlap lesion/bone+articulr cartilage,,,B30W.00,,,,,,,,
43614,"Malignant neoplasm/bones+articular cartilage/limb,unspfd",,,B30X.00,,,,,,,,
16075,Malignant neoplasm of bone and articular cartilage NOS,,,B30z.00,,,,,,,,
19437,Osteosarcoma,,,B30z000,,,,,,,,
34451,Malignant neoplasm of connective and other soft tissue,,,B31..00,,,,,,,,
43475,"Malig neop of connective and soft tissue head, face and neck",,,B310.00,,,,,,,,
59382,Malignant neoplasm of soft tissue of head,,,B310000,,,,,,,,
40014,Malignant neoplasm of soft tissue of face,,,B310100,,,,,,,,
48517,Malignant neoplasm of soft tissue of neck,,,B310200,,,,,,,,
60035,Malignant neoplasm of cartilage of ear,,,B310300,,,,,,,,
49463,Malignant neoplasm of tarsus of eyelid,,,B310400,,,,,,,,
73718,"Malig neop connective and soft tissue head, face, neck NOS",,,B310z00,,,,,,,,
53989,Malig neop connective and soft tissue upper limb/shoulder,,,B311.00,,,,,,,,
50222,Malignant neoplasm of connective and soft tissue of shoulder,,,B311000,,,,,,,,
64345,"Malignant neoplasm of connective and soft tissue, upper arm",,,B311100,,,,,,,,
57482,Malignant neoplasm of connective and soft tissue of fore-arm,,,B311200,,,,,,,,
19321,Malignant neoplasm of connective and soft tissue of hand,,,B311300,,,,,,,,
91586,Malignant neoplasm of connective and soft tissue of finger,,,B311400,,,,,,,,
63988,Malignant neoplasm of connective and soft tissue of thumb,,,B311500,,,,,,,,
66088,Malig neop of connective and soft tissue of hip and leg,,,B312.00,,,,,,,,
102949,Malignant neoplasm of connective and soft tissue of hip,,,B312000,,,,,,,,
44805,Malig neop of connective and soft tissue thigh and upper leg,,,B312100,,,,,,,,
54965,Malig neop connective and soft tissue of popliteal space,,,B312200,,,,,,,,
30542,Malig neop of connective and soft tissue of lower leg,,,B312300,,,,,,,,
54222,Malignant neoplasm of connective and soft tissue of foot,,,B312400,,,,,,,,
99572,Malignant neoplasm of connective and soft tissue of toe,,,B312500,,,,,,,,
90546,Malig neop connective and soft tissue hip and leg NOS,,,B312z00,,,,,,,,
22290,Malignant neoplasm of connective and soft tissue of thorax,,,B313.00,,,,,,,,
29160,Malignant neoplasm of connective and soft tissue of axilla,,,B313000,,,,,,,,
54186,Malignant neoplasm of diaphragm,,,B313100,,,,,,,,
72522,Malignant neoplasm of great vessels,,,B313200,,,,,,,,
98408,Malig neop of connective and soft tissue of thorax NOS,,,B313z00,,,,,,,,
45071,Malignant neoplasm of connective and soft tissue of abdomen,,,B314.00,,,,,,,,
66488,Malig neop of connective and soft tissue of abdominal wall,,,B314000,,,,,,,,
94272,Malig neoplasm of connective and soft tissues of lumb spine,,,B314100,,,,,,,,
60247,Malig neop of connective and soft tissue of abdomen NOS,,,B314z00,,,,,,,,
51965,Malignant neoplasm of connective and soft tissue of pelvis,,,B315.00,,,,,,,,
70463,Malignant neoplasm of connective and soft tissue of buttock,,,B315000,,,,,,,,
67324,Malig neop of connective and soft tissue of inguinal region,,,B315100,,,,,,,,
59152,Malignant neoplasm of connective and soft tissue of perineum,,,B315200,,,,,,,,
58836,Malig neop of connective and soft tissue of pelvis NOS,,,B315z00,,,,,,,,
57471,Malig neop of connective and soft tissue trunk unspecified,,,B316.00,,,,,,,,
65233,Malig neop connective and soft tissue other specified site,,,B31y.00,,,,,,,,
15182,"Malignant neoplasm of connective and soft tissue, site NOS",,,B31z.00,,,,,,,,
865,Malignant melanoma of skin,,,B32..00,,,,,,,,
70637,Malignant melanoma of lip,,,B320.00,,,,,,,,
54632,Malignant melanoma of eyelid including canthus,,,B321.00,,,,,,,,
57260,Malignant melanoma of ear and external auricular canal,,,B322.00,,,,,,,,
59061,Malignant melanoma of auricle (ear),,,B322000,,,,,,,,
102145,Malignant melanoma of external auditory meatus,,,B322100,,,,,,,,
73744,Malignant melanoma of ear and external auricular canal NOS,,,B322z00,,,,,,,,
47252,Malignant melanoma of other and unspecified parts of face,,,B323.00,,,,,,,,
41278,Malignant melanoma of external surface of cheek,,,B323000,,,,,,,,
71136,Malignant melanoma of chin,,,B323100,,,,,,,,
47094,Malignant melanoma of eyebrow,,,B323200,,,,,,,,
68133,Malignant melanoma of forehead,,,B323300,,,,,,,,
45139,Malignant melanoma of external surface of nose,,,B323400,,,,,,,,
58958,Malignant melanoma of temple,,,B323500,,,,,,,,
67806,Malignant melanoma of face NOS,,,B323z00,,,,,,,,
65625,Malignant melanoma of scalp and neck,,,B324.00,,,,,,,,
55881,Malignant melanoma of scalp,,,B324000,,,,,,,,
45306,Malignant melanoma of neck,,,B324100,,,,,,,,
99257,Malignant melanoma of scalp and neck NOS,,,B324z00,,,,,,,,
38689,Malignant melanoma of trunk (excluding scrotum),,,B325.00,,,,,,,,
49814,Malignant melanoma of axilla,,,B325000,,,,,,,,
32768,Malignant melanoma of breast,,,B325100,,,,,,,,
53629,Malignant melanoma of buttock,,,B325200,,,,,,,,
34259,Malignant melanoma of groin,,,B325300,,,,,,,,
95629,Malignant melanoma of perineum,,,B325500,,,,,,,,
43715,Malignant melanoma of umbilicus,,,B325600,,,,,,,,
43463,Malignant melanoma of back,,,B325700,,,,,,,,
51209,Malignant melanoma of chest wall,,,B325800,,,,,,,,
45760,"Malignant melanoma of trunk, excluding scrotum, NOS",,,B325z00,,,,,,,,
65164,Malignant melanoma of upper limb and shoulder,,,B326.00,,,,,,,,
50505,Malignant melanoma of shoulder,,,B326000,,,,,,,,
54685,Malignant melanoma of upper arm,,,B326100,,,,,,,,
45755,Malignant melanoma of fore-arm,,,B326200,,,,,,,,
62475,Malignant melanoma of hand,,,B326300,,,,,,,,
25602,Malignant melanoma of finger,,,B326400,,,,,,,,
63997,Malignant melanoma of thumb,,,B326500,,,,,,,,
55292,Malignant melanoma of upper limb or shoulder NOS,,,B326z00,,,,,,,,
46255,Malignant melanoma of lower limb and hip,,,B327.00,,,,,,,,
73536,Malignant melanoma of hip,,,B327000,,,,,,,,
51873,Malignant melanoma of thigh,,,B327100,,,,,,,,
54305,Malignant melanoma of knee,,,B327200,,,,,,,,
39878,Malignant melanoma of popliteal fossa area,,,B327300,,,,,,,,
37872,Malignant melanoma of lower leg,,,B327400,,,,,,,,
42714,Malignant melanoma of ankle,,,B327500,,,,,,,,
61246,Malignant melanoma of heel,,,B327600,,,,,,,,
41490,Malignant melanoma of foot,,,B327700,,,,,,,,
36899,Malignant melanoma of toe,,,B327800,,,,,,,,
53369,Malignant melanoma of great toe,,,B327900,,,,,,,,
64327,Malignant melanoma of lower limb or hip NOS,,,B327z00,,,,,,,,
42153,Malignant melanoma of other specified skin site,,,B32y.00,,,,,,,,
96585,Overlapping malignant melanoma of skin,,,B32y000,,,,,,,,
28556,Malignant melanoma of skin NOS,,,B32z.00,,,,,,,,
3968,Malignant neoplasm of female breast,,,B34..00,,,,,,,,
348,Ca female breast,,,B34..11,,,,,,,,
26853,Malignant neoplasm of nipple and areola of female breast,,,B340.00,,,,,,,,
23380,Malignant neoplasm of nipple of female breast,,,B340000,,,,,,,,
64686,Malignant neoplasm of areola of female breast,,,B340100,,,,,,,,
59831,Malignant neoplasm of nipple or areola of female breast NOS,,,B340z00,,,,,,,,
31546,Malignant neoplasm of central part of female breast,,,B341.00,,,,,,,,
29826,Malignant neoplasm of upper-inner quadrant of female breast,,,B342.00,,,,,,,,
45222,Malignant neoplasm of lower-inner quadrant of female breast,,,B343.00,,,,,,,,
23399,Malignant neoplasm of upper-outer quadrant of female breast,,,B344.00,,,,,,,,
42070,Malignant neoplasm of lower-outer quadrant of female breast,,,B345.00,,,,,,,,
20685,Malignant neoplasm of axillary tail of female breast,,,B346.00,,,,,,,,
49148,"Malignant neoplasm, overlapping lesion of breast",,,B347.00,,,,,,,,
56715,Malignant neoplasm of other site of female breast,,,B34y.00,,,,,,,,
95057,Malignant neoplasm of ectopic site of female breast,,,B34y000,,,,,,,,
38475,Malignant neoplasm of other site of female breast NOS,,,B34yz00,,,,,,,,
9470,Malignant neoplasm of female breast NOS,,,B34z.00,,,,,,,,
19423,Malignant neoplasm of male breast,,,B35..00,,,,,,,,
54494,Malignant neoplasm of nipple and areola of male breast,,,B350.00,,,,,,,,
68480,Malignant neoplasm of nipple of male breast,,,B350000,,,,,,,,
67884,Malignant neoplasm of areola of male breast,,,B350100,,,,,,,,
54202,Malignant neoplasm of other site of male breast,,,B35z.00,,,,,,,,
95323,Malignant neoplasm of ectopic site of male breast,,,B35z000,,,,,,,,
48809,Malignant neoplasm of male breast NOS,,,B35zz00,,,,,,,,
19389,"Malig neop of bone, connective tissue, skin and breast OS",,,B3y..00,,,,,,,,
41011,"Malig neop of bone, connective tissue, skin and breast NOS",,,B3z..00,,,,,,,,
13252,Malignant neoplasm of genitourinary organ,,,B4...00,,,,,,,,
16874,Carcinoma of genitourinary organ,,,B4...11,,,,,,,,
2744,"Malignant neoplasm of uterus, part unspecified",,,B40..00,,,,,,,,
2747,Malignant neoplasm of cervix uteri,,,B41..00,,,,,,,,
3230,Cervical carcinoma (uterus),,,B41..11,,,,,,,,
48820,Malignant neoplasm of endocervix,,,B410.00,,,,,,,,
57235,Malignant neoplasm of endocervical canal,,,B410000,,,,,,,,
53103,Malignant neoplasm of endocervical gland,,,B410100,,,,,,,,
50285,Malignant neoplasm of endocervix NOS,,,B410z00,,,,,,,,
50297,Malignant neoplasm of exocervix,,,B411.00,,,,,,,,
58094,"Malignant neoplasm, overlapping lesion of cervix uteri",,,B412.00,,,,,,,,
32955,Malignant neoplasm of other site of cervix,,,B41y.00,,,,,,,,
95505,Malignant neoplasm of cervical stump,,,B41y000,,,,,,,,
57719,Malignant neoplasm of squamocolumnar junction of cervix,,,B41y100,,,,,,,,
43435,Malignant neoplasm of other site of cervix NOS,,,B41yz00,,,,,,,,
28311,Malignant neoplasm of cervix uteri NOS,,,B41z.00,,,,,,,,
93762,Malignant neoplasm of placenta,,,B42..00,,,,,,,,
28003,Choriocarcinoma,,,B420.00,,,,,,,,
7046,Malignant neoplasm of body of uterus,,,B43..00,,,,,,,,
3213,"Malignant neoplasm of corpus uteri, excluding isthmus",,,B430.00,,,,,,,,
72723,Malignant neoplasm of cornu of corpus uteri,,,B430000,,,,,,,,
68155,Malignant neoplasm of fundus of corpus uteri,,,B430100,,,,,,,,
2890,Malignant neoplasm of endometrium of corpus uteri,,,B430200,,,,,,,,
49400,Malignant neoplasm of endometrium,,,B430211,,,,,,,,
45793,Malignant neoplasm of myometrium of corpus uteri,,,B430300,,,,,,,,
45490,Malignant neoplasm of corpus uteri NOS,,,B430z00,,,,,,,,
43940,Malignant neoplasm of isthmus of uterine body,,,B431.00,,,,,,,,
59097,Malignant neoplasm of lower uterine segment,,,B431000,,,,,,,,
70729,Malignant neoplasm of isthmus of uterine body NOS,,,B431z00,,,,,,,,
16967,Malignant neoplasm of overlapping lesion of corpus uteri,,,B432.00,,,,,,,,
31608,Malignant neoplasm of other site of uterine body,,,B43y.00,,,,,,,,
33617,Malignant neoplasm of body of uterus NOS,,,B43z.00,,,,,,,,
19141,Malignant neoplasm of ovary and other uterine adnexa,,,B44..00,,,,,,,,
7805,Malignant neoplasm of ovary,,,B440.00,,,,,,,,
1986,Cancer of ovary,,,B440.11,,,,,,,,
49828,Malignant neoplasm of fallopian tube,,,B441.00,,,,,,,,
101778,Malignant neoplasm of broad ligament,,,B442.00,,,,,,,,
46153,Malignant neoplasm of parametrium,,,B443.00,,,,,,,,
97996,Malignant neoplasm of other site of uterine adnexa,,,B44y.00,,,,,,,,
65106,Malignant neoplasm of uterine adnexa NOS,,,B44z.00,,,,,,,,
4555,Malig neop of other and unspecified female genital organs,,,B45..00,,,,,,,,
37328,Malignant neoplasm of vagina,,,B450.00,,,,,,,,
10698,Malignant neoplasm of vaginal vault,,,B450100,,,,,,,,
60772,Malignant neoplasm of vagina NOS,,,B450z00,,,,,,,,
43761,Malignant neoplasm of labia majora,,,B451.00,,,,,,,,
47899,Malignant neoplasm of greater vestibular (Bartholin's) gland,,,B451000,,,,,,,,
59362,Malignant neoplasm of labia majora NOS,,,B451z00,,,,,,,,
58061,Malignant neoplasm of labia minora,,,B452.00,,,,,,,,
53910,Malignant neoplasm of clitoris,,,B453.00,,,,,,,,
4554,Malignant neoplasm of vulva unspecified,,,B454.00,,,,,,,,
11991,Primary vulval cancer,,,B454.11,,,,,,,,
26454,Malignant neoplasm/overlapping lesion/feml genital organs,,,B45X.00,,,,,,,,
95421,Malignant neoplasm of other specified female genital organ,,,B45y.00,,,,,,,,
27617,Malignant neoplasm of overlapping lesion of vulva,,,B45y000,,,,,,,,
20166,Malignant neoplasm of female genital organ NOS,,,B45z.00,,,,,,,,
780,Malignant neoplasm of prostate,,,B46..00,,,,,,,,
15148,Malignant neoplasm of testis,,,B47..00,,,,,,,,
64602,Malignant neoplasm of undescended testis,,,B470.00,,,,,,,,
7740,Seminoma of undescended testis,,,B470200,,,,,,,,
36325,Teratoma of undescended testis,,,B470300,,,,,,,,
96429,Malignant neoplasm of undescended testis NOS,,,B470z00,,,,,,,,
19475,Malignant neoplasm of descended testis,,,B471.00,,,,,,,,
21786,Seminoma of descended testis,,,B471000,,,,,,,,
9476,Teratoma of descended testis,,,B471100,,,,,,,,
91509,Malignant neoplasm of descended testis NOS,,,B471z00,,,,,,,,
38510,Malignant neoplasm of testis NOS,,,B47z.00,,,,,,,,
2961,Seminoma of testis,,,B47z.11,,,,,,,,
15989,Teratoma of testis,,,B47z.12,,,,,,,,
3541,Malignant neoplasm of penis and other male genital organs,,,B48..00,,,,,,,,
50681,Malignant neoplasm of prepuce (foreskin),,,B480.00,,,,,,,,
17841,Malignant neoplasm of glans penis,,,B481.00,,,,,,,,
48743,Malignant neoplasm of body of penis,,,B482.00,,,,,,,,
43392,"Malignant neoplasm of penis, part unspecified",,,B483.00,,,,,,,,
72127,Malignant neoplasm of epididymis,,,B484.00,,,,,,,,
63331,Malignant neoplasm of spermatic cord,,,B485.00,,,,,,,,
47767,Malignant neoplasm of scrotum,,,B486.00,,,,,,,,
52570,"Malignant neoplasm, overlapping lesion of penis",,,B487.00,,,,,,,,
67949,Malignant neoplasm of other male genital organ,,,B48y.00,,,,,,,,
68161,Malignant neoplasm of seminal vesicle,,,B48y000,,,,,,,,
47668,Malignant neoplasm of tunica vaginalis,,,B48y100,,,,,,,,
68824,"Malignant neoplasm, overlapping lesion male genital orgs",,,B48y200,,,,,,,,
92329,Malignant neoplasm of other male genital organ NOS,,,B48yz00,,,,,,,,
63224,Malignant neoplasm of penis and other male genital organ NOS,,,B48z.00,,,,,,,,
779,Malignant neoplasm of urinary bladder,,,B49..00,,,,,,,,
38862,Malignant neoplasm of trigone of urinary bladder,,,B490.00,,,,,,,,
44996,Malignant neoplasm of dome of urinary bladder,,,B491.00,,,,,,,,
35963,Malignant neoplasm of lateral wall of urinary bladder,,,B492.00,,,,,,,,
19162,Malignant neoplasm of anterior wall of urinary bladder,,,B493.00,,,,,,,,
42012,Malignant neoplasm of posterior wall of urinary bladder,,,B494.00,,,,,,,,
41571,Malignant neoplasm of bladder neck,,,B495.00,,,,,,,,
28241,Malignant neoplasm of ureteric orifice,,,B496.00,,,,,,,,
42023,Malignant neoplasm of urachus,,,B497.00,,,,,,,,
36949,Malignant neoplasm of other site of urinary bladder,,,B49y.00,,,,,,,,
47801,"Malignant neoplasm, overlapping lesion of bladder",,,B49y000,,,,,,,,
31102,Malignant neoplasm of urinary bladder NOS,,,B49z.00,,,,,,,,
13559,Malig neop of kidney and other unspecified urinary organs,,,B4A..00,,,,,,,,
18712,Renal malignant neoplasm,,,B4A..11,,,,,,,,
1599,Malignant neoplasm of kidney parenchyma,,,B4A0.00,,,,,,,,
7978,Hypernephroma,,,B4A0000,,,,,,,,
12389,Malignant neoplasm of renal pelvis,,,B4A1.00,,,,,,,,
27540,Malignant neoplasm of renal calyces,,,B4A1000,,,,,,,,
101608,Malignant neoplasm of ureteropelvic junction,,,B4A1100,,,,,,,,
54184,Malignant neoplasm of renal pelvis NOS,,,B4A1z00,,,,,,,,
15223,Malignant neoplasm of ureter,,,B4A2.00,,,,,,,,
15644,Malignant neoplasm of urethra,,,B4A3.00,,,,,,,,
72174,Malignant neoplasm of paraurethral glands,,,B4A4.00,,,,,,,,
44884,Malignant neoplasm of other urinary organs,,,B4Ay.00,,,,,,,,
59286,Malignant neoplasm of overlapping lesion of urinary organs,,,B4Ay000,,,,,,,,
29462,Malignant neoplasm of kidney or urinary organs NOS,,,B4Az.00,,,,,,,,
38931,Malignant neoplasm of genitourinary organ OS,,,B4y..00,,,,,,,,
52594,Malignant neoplasm of genitourinary organ NOS,,,B4z..00,,,,,,,,
10995,Malignant neoplasm of other and unspecified sites,,,B5...00,,,,,,,,
8693,Carcinoma of other and unspecified sites,,,B5...11,,,,,,,,
20160,Malignant neoplasm of eye,,,B50..00,,,,,,,,
98813,"Malig neop eyeball excl conjunctiva, cornea, retina, choroid",,,B500.00,,,,,,,,
59041,Malignant neoplasm of ciliary body,,,B500000,,,,,,,,
59381,Malignant neoplasm of iris,,,B500100,,,,,,,,
56718,Malignant neoplasm of eyeball NOS,,,B500z00,,,,,,,,
45667,Malignant neoplasm of orbit,,,B501.00,,,,,,,,
86996,Malignant neoplasm of connective tissue of orbit,,,B501000,,,,,,,,
63104,Malignant neoplasm of orbit NOS,,,B501z00,,,,,,,,
64817,Malignant neoplasm of lacrimal gland,,,B502.00,,,,,,,,
63657,Malignant neoplasm of conjunctiva,,,B503.00,,,,,,,,
73992,Malignant neoplasm of cornea,,,B504.00,,,,,,,,
28069,Malignant neoplasm of retina,,,B505.00,,,,,,,,
15991,Malignant neoplasm of choroid,,,B506.00,,,,,,,,
71584,Malignant neoplasm of lacrimal duct,,,B507.00,,,,,,,,
101805,Malignant neoplasm of lacrimal sac,,,B507000,,,,,,,,
65357,Malignant neoplasm of nasolacrimal duct,,,B507100,,,,,,,,
45922,"Malignant neoplasm, overlapping lesion of eye and adnexa",,,B508.00,,,,,,,,
40437,Malignant neoplasm of other specified site of eye,,,B50y.00,,,,,,,,
54956,Malignant neoplasm of eye NOS,,,B50z.00,,,,,,,,
18617,Malignant neoplasm of brain,,,B51..00,,,,,,,,
10851,Cerebral tumour - malignant,,,B51..11,,,,,,,,
15711,Malignant neoplasm cerebrum (excluding lobes and ventricles),,,B510.00,,,,,,,,
48073,Malignant neoplasm of basal ganglia,,,B510000,,,,,,,,
61399,Malignant neoplasm of cerebral cortex,,,B510100,,,,,,,,
99913,Malignant neoplasm of globus pallidus,,,B510300,,,,,,,,
70942,Malignant neoplasm of hypothalamus,,,B510400,,,,,,,,
62126,Malignant neoplasm of thalamus,,,B510500,,,,,,,,
54133,Malignant neoplasm of cerebrum NOS,,,B510z00,,,,,,,,
42426,Malignant neoplasm of frontal lobe,,,B511.00,,,,,,,,
46792,Malignant neoplasm of temporal lobe,,,B512.00,,,,,,,,
67236,Malignant neoplasm of hippocampus,,,B512000,,,,,,,,
47556,Malignant neoplasm of temporal lobe NOS,,,B512z00,,,,,,,,
19226,Malignant neoplasm of parietal lobe,,,B513.00,,,,,,,,
39088,Malignant neoplasm of occipital lobe,,,B514.00,,,,,,,,
52511,Malignant neoplasm of cerebral ventricles,,,B515.00,,,,,,,,
46789,Malignant neoplasm of choroid plexus,,,B515000,,,,,,,,
45154,Malignant neoplasm of cerebellum,,,B516.00,,,,,,,,
44089,Malignant neoplasm of brain stem,,,B517.00,,,,,,,,
64557,Malignant neoplasm of cerebral peduncle,,,B517000,,,,,,,,
49132,Malignant neoplasm of medulla oblongata,,,B517100,,,,,,,,
93537,Malignant neoplasm of midbrain,,,B517200,,,,,,,,
91240,Malignant neoplasm of pons,,,B517300,,,,,,,,
68641,Malignant neoplasm of brain stem NOS,,,B517z00,,,,,,,,
71139,Malignant neoplasm of other parts of brain,,,B51y.00,,,,,,,,
59170,Malignant neoplasm of corpus callosum,,,B51y000,,,,,,,,
65241,"Malignant neoplasm, overlapping lesion of brain",,,B51y200,,,,,,,,
100733,Malignant neoplasm of other part of brain NOS,,,B51yz00,,,,,,,,
41520,Malignant neoplasm of brain NOS,,,B51z.00,,,,,,,,
65458,Malig neop of other and unspecified parts of nervous system,,,B52..00,,,,,,,,
99621,Malignant neoplasm of cranial nerves,,,B520.00,,,,,,,,
64971,Malignant neoplasm of olfactory bulb,,,B520000,,,,,,,,
70126,Malignant neoplasm of optic nerve,,,B520100,,,,,,,,
65599,Malignant neoplasm of acoustic nerve,,,B520200,,,,,,,,
101086,Malignant neoplasm of cranial nerves NOS,,,B520z00,,,,,,,,
28919,Malignant neoplasm of cerebral meninges,,,B521.00,,,,,,,,
70104,Malignant neoplasm of cerebral meninges NOS,,,B521z00,,,,,,,,
51115,Malignant neoplasm of spinal cord,,,B522.00,,,,,,,,
49714,Malignant neoplasm of spinal meninges,,,B523.00,,,,,,,,
67211,Malignant neoplasm of spinal meninges NOS,,,B523z00,,,,,,,,
24235,Malig neopl peripheral nerves and autonomic nervous system,,,B524.00,,,,,,,,
63568,"Malignant neoplasm of peripheral nerves of head, face & neck",,,B524000,,,,,,,,
61716,"Malignant neoplasm of peripheral nerve,upp limb,incl should",,,B524100,,,,,,,,
89258,"Malignant neoplasm of peripheral nerve of low limb, incl hip",,,B524200,,,,,,,,
63695,Malignant neoplasm of peripheral nerve of thorax,,,B524300,,,,,,,,
86046,Malignant neoplasm of peripheral nerve of abdomen,,,B524400,,,,,,,,
73988,Malignant neoplasm of peripheral nerve of pelvis,,,B524500,,,,,,,,
50777,"Malignant neoplasm,overlap lesion periph nerve & auton ns",,,B524600,,,,,,,,
9622,Malignant neoplasm of cauda equina,,,B525.00,,,,,,,,
53504,"Malig neopl, overlap lesion brain & other part of CNS",,,B52W.00,,,,,,,,
49875,"Malignant neoplasm of meninges, unspecified",,,B52X.00,,,,,,,,
88144,Malignant neoplasm of other specified part of nervous system,,,B52y.00,,,,,,,,
56490,Malignant neoplasm of nervous system NOS,,,B52z.00,,,,,,,,
5637,Malignant neoplasm of thyroid gland,,,B53..00,,,,,,,,
30511,Malig neop of other endocrine glands and related structures,,,B54..00,,,,,,,,
28148,Malignant neoplasm of adrenal gland,,,B540.00,,,,,,,,
61390,Malignant neoplasm of adrenal cortex,,,B540000,,,,,,,,
94220,Malignant neoplasm of adrenal medulla,,,B540100,,,,,,,,
70824,Malignant neoplasm of adrenal gland NOS,,,B540z00,,,,,,,,
4218,Malignant neoplasm of parathyroid gland,,,B541.00,,,,,,,,
59823,Malignant neoplasm pituitary gland and craniopharyngeal duct,,,B542.00,,,,,,,,
8550,Malignant neoplasm of pituitary gland,,,B542000,,,,,,,,
39899,Malignant neoplasm of craniopharyngeal duct,,,B542100,,,,,,,,
59718,Malig neop pituitary gland or craniopharyngeal duct NOS,,,B542z00,,,,,,,,
42460,Malignant neoplasm of pineal gland,,,B543.00,,,,,,,,
57047,Malignant neoplasm of carotid body,,,B544.00,,,,,,,,
50035,Malignant neoplasm of aortic body and other paraganglia,,,B545.00,,,,,,,,
51795,Malignant neoplasm of glomus jugulare,,,B545000,,,,,,,,
47840,Malignant neoplasm of aortic body,,,B545100,,,,,,,,
46905,Malignant neoplasm of coccygeal body,,,B545200,,,,,,,,
87113,"Malignant neoplasm-pluriglandular involvement,unspecified",,,B54X.00,,,,,,,,
90659,Malignant neoplasm of other specified endocrine gland,,,B54y.00,,,,,,,,
64195,Malig neop of endocrine gland or related structure NOS,,,B54z.00,,,,,,,,
9030,Malignant neoplasm of other and ill-defined sites,,,B55..00,,,,,,,,
