readcode	readterm	medcode
"BBZG.11"	"[M]Adamantinoma, malignant"	100267
"B32..00"	"Malignant melanoma of skin"	865
"B320.00"	"Malignant melanoma of lip"	70637
"B321.00"	"Malignant melanoma of eyelid including canthus"	54632
"B322.00"	"Malignant melanoma of ear and external auricular canal"	57260
"B322000"	"Malignant melanoma of auricle (ear)"	59061
"B322100"	"Malignant melanoma of external auditory meatus"	102145
"B322z00"	"Malignant melanoma of ear and external auricular canal NOS"	73744
"B323.00"	"Malignant melanoma of other and unspecified parts of face"	47252
"B323000"	"Malignant melanoma of external surface of cheek"	41278
"B323100"	"Malignant melanoma of chin"	71136
"B323200"	"Malignant melanoma of eyebrow"	47094
"B323300"	"Malignant melanoma of forehead"	68133
"B323400"	"Malignant melanoma of external surface of nose"	45139
"B323500"	"Malignant melanoma of temple"	58958
"B323z00"	"Malignant melanoma of face NOS"	67806
"B324.00"	"Malignant melanoma of scalp and neck"	65625
"B324000"	"Malignant melanoma of scalp"	55881
"B324100"	"Malignant melanoma of neck"	45306
"B324z00"	"Malignant melanoma of scalp and neck NOS"	99257
"B325.00"	"Malignant melanoma of trunk (excluding scrotum)"	38689
"B325000"	"Malignant melanoma of axilla"	49814
"B325100"	"Malignant melanoma of breast"	32768
"B325200"	"Malignant melanoma of buttock"	53629
"B325300"	"Malignant melanoma of groin"	34259
"B325400"	"Malignant melanoma of perianal skin"	109002
"B325500"	"Malignant melanoma of perineum"	95629
"B325600"	"Malignant melanoma of umbilicus"	43715
"B325700"	"Malignant melanoma of back"	43463
"B325800"	"Malignant melanoma of chest wall"	51209
"B325z00"	"Malignant melanoma of trunk, excluding scrotum, NOS"	45760
"B326.00"	"Malignant melanoma of upper limb and shoulder"	65164
"B326000"	"Malignant melanoma of shoulder"	50505
"B326100"	"Malignant melanoma of upper arm"	54685
"B326200"	"Malignant melanoma of fore-arm"	45755
"B326300"	"Malignant melanoma of hand"	62475
"B326400"	"Malignant melanoma of finger"	25602
"B326500"	"Malignant melanoma of thumb"	63997
"B326z00"	"Malignant melanoma of upper limb or shoulder NOS"	55292
"B327.00"	"Malignant melanoma of lower limb and hip"	46255
"B327000"	"Malignant melanoma of hip"	73536
"B327100"	"Malignant melanoma of thigh"	51873
"B327200"	"Malignant melanoma of knee"	54305
"B327300"	"Malignant melanoma of popliteal fossa area"	39878
"B327400"	"Malignant melanoma of lower leg"	37872
"B327500"	"Malignant melanoma of ankle"	42714
"B327600"	"Malignant melanoma of heel"	61246
"B327700"	"Malignant melanoma of foot"	41490
"B327800"	"Malignant melanoma of toe"	36899
"B327900"	"Malignant melanoma of great toe"	53369
"B327z00"	"Malignant melanoma of lower limb or hip NOS"	64327
"B328.00"	"Malignant melanoma stage IA"	111079
"B329.00"	"Malignant melanoma stage IB"	109827
"B32A.00"	"Malignant melanoma stage IIA"	110139
"B32B.00"	"Malignant melanoma stage IIB"	110180
"B32F.00"	"Malignant melanoma stage IIIC"	110961
"B32G.00"	"Malignant melanoma stage IV M1a"	109745
"B32H.00"	"Malignant melanoma stage IV M1b"	110483
"B32J.00"	"Malignant melanoma stage IV M1c"	111162
"B32y.00"	"Malignant melanoma of other specified skin site"	42153
"B32y000"	"Overlapping malignant melanoma of skin"	96585
"B32z.00"	"Malignant melanoma of skin NOS"	28556
"B226.00"	"Mesothelioma"	7484
"B232.00"	"Mesothelioma of pleura"	9600
"B23z.00"	"Malignant neoplasm of pleura NOS"	34742
"B31..00"	"Malignant neoplasm of connective and other soft tissue"	34451
"B310.00"	"Malig neop of connective and soft tissue head, face and neck"	43475
"B310000"	"Malignant neoplasm of soft tissue of head"	59382
"B310100"	"Malignant neoplasm of soft tissue of face"	40014
"B310200"	"Malignant neoplasm of soft tissue of neck"	48517
"B310300"	"Malignant neoplasm of cartilage of ear"	60035
"B310400"	"Malignant neoplasm of tarsus of eyelid"	49463
"B310500"	"Malignant neoplasm soft tissues of cervical spine"	108389
"B310z00"	"Malig neop connective and soft tissue head, face, neck NOS"	73718
"B311.00"	"Malig neop connective and soft tissue upper limb/shoulder"	53989
"B311000"	"Malignant neoplasm of connective and soft tissue of shoulder"	50222
"B311100"	"Malignant neoplasm of connective and soft tissue, upper arm"	64345
"B311200"	"Malignant neoplasm of connective and soft tissue of fore-arm"	57482
"B311300"	"Malignant neoplasm of connective and soft tissue of hand"	19321
"B311400"	"Malignant neoplasm of connective and soft tissue of finger"	91586
"B311500"	"Malignant neoplasm of connective and soft tissue of thumb"	63988
"B311z00"	"Malig neop connective soft tissue upper limb/shoulder NOS"	104913
"B312.00"	"Malig neop of connective and soft tissue of hip and leg"	66088
"B312000"	"Malignant neoplasm of connective and soft tissue of hip"	102949
"B312100"	"Malig neop of connective and soft tissue thigh and upper leg"	44805
"B312200"	"Malig neop connective and soft tissue of popliteal space"	54965
"B312300"	"Malig neop of connective and soft tissue of lower leg"	30542
"B312400"	"Malignant neoplasm of connective and soft tissue of foot"	54222
"B312500"	"Malignant neoplasm of connective and soft tissue of toe"	99572
"B312z00"	"Malig neop connective and soft tissue hip and leg NOS"	90546
"B313.00"	"Malignant neoplasm of connective and soft tissue of thorax"	22290
"B313000"	"Malignant neoplasm of connective and soft tissue of axilla"	29160
"B313100"	"Malignant neoplasm of diaphragm"	54186
"B313200"	"Malignant neoplasm of great vessels"	72522
"B313300"	"Malig neoplasm of connective and soft tissues of thor spine"	104139
"B313z00"	"Malig neop of connective and soft tissue of thorax NOS"	98408
"B314.00"	"Malignant neoplasm of connective and soft tissue of abdomen"	45071
"B314000"	"Malig neop of connective and soft tissue of abdominal wall"	66488
"B314100"	"Malig neoplasm of connective and soft tissues of lumb spine"	94272
"B314z00"	"Malig neop of connective and soft tissue of abdomen NOS"	60247
"B315.00"	"Malignant neoplasm of connective and soft tissue of pelvis"	51965
"B315000"	"Malignant neoplasm of connective and soft tissue of buttock"	70463
"B315100"	"Malig neop of connective and soft tissue of inguinal region"	67324
"B315200"	"Malignant neoplasm of connective and soft tissue of perineum"	59152
"B315300"	"Malig neopl of connective and soft tissue - sacrum or coccyx"	110192
"B315z00"	"Malig neop of connective and soft tissue of pelvis NOS"	58836
"B316.00"	"Malig neop of connective and soft tissue trunk unspecified"	57471
"B31y.00"	"Malig neop connective and soft tissue other specified site"	65233
"B31z.00"	"Malignant neoplasm of connective and soft tissue, site NOS"	15182
"B31z000"	"Kaposi's sarcoma of soft tissue"	104128
"B524000"	"Malignant neoplasm of peripheral nerves of head, face & neck"	63568
"B524100"	"Malignant neoplasm of peripheral nerve,upp limb,incl should"	61716
"B524200"	"Malignant neoplasm of peripheral nerve of low limb, incl hip"	89258
"B524300"	"Malignant neoplasm of peripheral nerve of thorax"	63695
"B524400"	"Malignant neoplasm of peripheral nerve of abdomen"	86046
"B524500"	"Malignant neoplasm of peripheral nerve of pelvis"	73988
"B62D.00"	"Histiocytic sarcoma"	105083
"B653.00"	"Myeloid sarcoma"	70724
"BBT1.11"	"[M]Angiosarcoma"	22650
"BBTA.00"	"[M]Kaposi's sarcoma"	27439
"BBTD200"	"[M]Haemangiopericytoma, malignant"	105296
"BBV9.00"	"[M]Myxoid chondrosarcoma"	4118
"BBW..00"	"[M]Chondromatous neoplasms"	36503
"BBW4.00"	"[M]Chondrosarcoma NOS"	7941
"BBW4.11"	"[M]Fibrochondrosarcoma"	68220
"BBW6.00"	"[M]Juxtacortical chondrosarcoma"	63659
"BBW7.00"	"[M]Chondroblastoma NOS"	68524
"BBW7.11"	"[M]Chondromatous giant cell tumour"	32442
"BBW8.00"	"[M]Chondroblastoma, malignant"	98559
"BBW9.00"	"[M]Mesenchymal chondrosarcoma"	52684
"BBWz.00"	"[M]Chondromatous neoplasm NOS"	33973
"BBrA300"	"[M]Myeloid sarcoma"	96893
"BBrA312"	"[M]Granulocytic sarcoma"	98009
"Byu5000"	"[X]Mesothelioma of other sites"	67034
"Byu5011"	"[X]Mesothelioma of lung"	21715
"Byu5100"	"[X]Mesothelioma, unspecified"	30526
"B34..00"	"Malignant neoplasm of female breast"	3968
"B34..11"	"Ca female breast"	348
"B340.00"	"Malignant neoplasm of nipple and areola of female breast"	26853
"B340000"	"Malignant neoplasm of nipple of female breast"	23380
"B340100"	"Malignant neoplasm of areola of female breast"	64686
"B340z00"	"Malignant neoplasm of nipple or areola of female breast NOS"	59831
"B341.00"	"Malignant neoplasm of central part of female breast"	31546
"B342.00"	"Malignant neoplasm of upper-inner quadrant of female breast"	29826
"B343.00"	"Malignant neoplasm of lower-inner quadrant of female breast"	45222
"B344.00"	"Malignant neoplasm of upper-outer quadrant of female breast"	23399
"B345.00"	"Malignant neoplasm of lower-outer quadrant of female breast"	42070
"B346.00"	"Malignant neoplasm of axillary tail of female breast"	20685
"B347.00"	"Malignant neoplasm, overlapping lesion of breast"	49148
"B34y.00"	"Malignant neoplasm of other site of female breast"	56715
"B34y000"	"Malignant neoplasm of ectopic site of female breast"	95057
"B34yz00"	"Malignant neoplasm of other site of female breast NOS"	38475
"B34z.00"	"Malignant neoplasm of female breast NOS"	9470
"B35..00"	"Malignant neoplasm of male breast"	19423
"B350.00"	"Malignant neoplasm of nipple and areola of male breast"	54494
"B350000"	"Malignant neoplasm of nipple of male breast"	68480
"B350100"	"Malignant neoplasm of areola of male breast"	67884
"B35z.00"	"Malignant neoplasm of other site of male breast"	54202
"B35z000"	"Malignant neoplasm of ectopic site of male breast"	95323
"B35zz00"	"Malignant neoplasm of male breast NOS"	48809
"Byu6.00"	"[X]Malignant neoplasm of breast"	12499
"B450.00"	"Malignant neoplasm of vagina"	37328
"B450100"	"Malignant neoplasm of vaginal vault"	10698
"B450z00"	"Malignant neoplasm of vagina NOS"	60772
"B451.00"	"Malignant neoplasm of labia majora"	43761
"B451000"	"Malignant neoplasm of greater vestibular (Bartholin's) gland"	47899
"B451z00"	"Malignant neoplasm of labia majora NOS"	59362
"B452.00"	"Malignant neoplasm of labia minora"	58061
"B453.00"	"Malignant neoplasm of clitoris"	53910
"B454.00"	"Malignant neoplasm of vulva unspecified"	4554
"B454.11"	"Primary vulval cancer"	11991
"B410.00"	"Malignant neoplasm of endocervix"	48820
"B410000"	"Malignant neoplasm of endocervical canal"	57235
"B410100"	"Malignant neoplasm of endocervical gland"	53103
"B410z00"	"Malignant neoplasm of endocervix NOS"	50285
"B411.00"	"Malignant neoplasm of exocervix"	50297
"B412.00"	"Malignant neoplasm, overlapping lesion of cervix uteri"	58094
"B41y.00"	"Malignant neoplasm of other site of cervix"	32955
"B41y000"	"Malignant neoplasm of cervical stump"	95505
"B41y100"	"Malignant neoplasm of squamocolumnar junction of cervix"	57719
"B41yz00"	"Malignant neoplasm of other site of cervix NOS"	43435
"B41z.00"	"Malignant neoplasm of cervix uteri NOS"	28311
"B40..00"	"Malignant neoplasm of uterus, part unspecified"	2744
"B41..00"	"Malignant neoplasm of cervix uteri"	2747
"B41..11"	"Cervical carcinoma (uterus)"	3230
"B43..00"	"Malignant neoplasm of body of uterus"	7046
"B430.00"	"Malignant neoplasm of corpus uteri, excluding isthmus"	3213
"B430000"	"Malignant neoplasm of cornu of corpus uteri"	72723
"B430100"	"Malignant neoplasm of fundus of corpus uteri"	68155
"B430200"	"Malignant neoplasm of endometrium of corpus uteri"	2890
"B430211"	"Malignant neoplasm of endometrium"	49400
"B430300"	"Malignant neoplasm of myometrium of corpus uteri"	45793
"B430z00"	"Malignant neoplasm of corpus uteri NOS"	45490
"B431.00"	"Malignant neoplasm of isthmus of uterine body"	43940
"B431000"	"Malignant neoplasm of lower uterine segment"	59097
"B431z00"	"Malignant neoplasm of isthmus of uterine body NOS"	70729
"B43y.00"	"Malignant neoplasm of other site of uterine body"	31608
"B43z.00"	"Malignant neoplasm of body of uterus NOS"	33617
"B441.00"	"Malignant neoplasm of fallopian tube"	49828
"B44z.00"	"Malignant neoplasm of uterine adnexa NOS"	65106
"Byu7000"	"[X]Malignant neoplasm of uterine adnexa, unspecified"	64497
"B440.00"	"Malignant neoplasm of ovary"	7805
"B440.11"	"Cancer of ovary"	1986
"B420.00"	"Choriocarcinoma"	28003
"B48..00"	"Malignant neoplasm of penis and other male genital organs"	3541
"B480.00"	"Malignant neoplasm of prepuce (foreskin)"	50681
"B481.00"	"Malignant neoplasm of glans penis"	17841
"B482.00"	"Malignant neoplasm of body of penis"	48743
"B483.00"	"Malignant neoplasm of penis, part unspecified"	43392
"B46..00"	"Malignant neoplasm of prostate"	780
"B47..00"	"Malignant neoplasm of testis"	15148
"B470.00"	"Malignant neoplasm of undescended testis"	64602
"B470200"	"Seminoma of undescended testis"	7740
"B470300"	"Teratoma of undescended testis"	36325
"B470z00"	"Malignant neoplasm of undescended testis NOS"	96429
"B471.00"	"Malignant neoplasm of descended testis"	19475
"B471000"	"Seminoma of descended testis"	21786
"B471100"	"Teratoma of descended testis"	9476
"B471z00"	"Malignant neoplasm of descended testis NOS"	91509
"B47z.00"	"Malignant neoplasm of testis NOS"	38510
"B47z.11"	"Seminoma of testis"	2961
"B47z.12"	"Teratoma of testis"	15989
"B484.00"	"Malignant neoplasm of epididymis"	72127
"B485.00"	"Malignant neoplasm of spermatic cord"	63331
"B48y100"	"Malignant neoplasm of tunica vaginalis"	47668
"B4A..00"	"Malig neop of kidney and other unspecified urinary organs"	13559
"B4A..11"	"Renal malignant neoplasm"	18712
"B4A0.00"	"Malignant neoplasm of kidney parenchyma"	1599
"B4A0000"	"Hypernephroma"	7978
"B4A1.00"	"Malignant neoplasm of renal pelvis"	12389
"B4A1000"	"Malignant neoplasm of renal calyces"	27540
"B4A1100"	"Malignant neoplasm of ureteropelvic junction"	101608
"B4A1z00"	"Malignant neoplasm of renal pelvis NOS"	54184
"B4A2.00"	"Malignant neoplasm of ureter"	15223
"B4A3.00"	"Malignant neoplasm of urethra"	15644
"B4Az.00"	"Malignant neoplasm of kidney or urinary organs NOS"	29462
"B49..00"	"Malignant neoplasm of urinary bladder"	779
"B490.00"	"Malignant neoplasm of trigone of urinary bladder"	38862
"B491.00"	"Malignant neoplasm of dome of urinary bladder"	44996
"B492.00"	"Malignant neoplasm of lateral wall of urinary bladder"	35963
"B493.00"	"Malignant neoplasm of anterior wall of urinary bladder"	19162
"B494.00"	"Malignant neoplasm of posterior wall of urinary bladder"	42012
"B495.00"	"Malignant neoplasm of bladder neck"	41571
"B496.00"	"Malignant neoplasm of ureteric orifice"	28241
"B497.00"	"Malignant neoplasm of urachus"	42023
"B49y.00"	"Malignant neoplasm of other site of urinary bladder"	36949
"B49z.00"	"Malignant neoplasm of urinary bladder NOS"	31102
"B50..00"	"Malignant neoplasm of eye"	20160
"B500.00"	"Malig neop eyeball excl conjunctiva, cornea, retina, choroid"	98813
"B500000"	"Malignant neoplasm of ciliary body"	59041
"B500100"	"Malignant neoplasm of iris"	59381
"B500200"	"Malignant neoplasm of crystalline lens"	106569
"B500z00"	"Malignant neoplasm of eyeball NOS"	56718
"B501.00"	"Malignant neoplasm of orbit"	45667
"B501000"	"Malignant neoplasm of connective tissue of orbit"	86996
"B501z00"	"Malignant neoplasm of orbit NOS"	63104
"B502.00"	"Malignant neoplasm of lacrimal gland"	64817
"B503.00"	"Malignant neoplasm of conjunctiva"	63657
"B504.00"	"Malignant neoplasm of cornea"	73992
"B505.00"	"Malignant neoplasm of retina"	28069
"B506.00"	"Malignant neoplasm of choroid"	15991
"B507.00"	"Malignant neoplasm of lacrimal duct"	71584
"B507000"	"Malignant neoplasm of lacrimal sac"	101805
"B507100"	"Malignant neoplasm of nasolacrimal duct"	65357
"B508.00"	"Malignant neoplasm, overlapping lesion of eye and adnexa"	45922
"B509.00"	"Malignant melanoma of eye"	108363
"B50y.00"	"Malignant neoplasm of other specified site of eye"	40437
"B50z.00"	"Malignant neoplasm of eye NOS"	54956
"B521.00"	"Malignant neoplasm of cerebral meninges"	28919
"B521000"	"Malignant neoplasm of cerebral dura mater"	110766
"B521200"	"Malignant neoplasm of cerebral pia mater"	109473
"B521z00"	"Malignant neoplasm of cerebral meninges NOS"	70104
"B523.00"	"Malignant neoplasm of spinal meninges"	49714
"B523z00"	"Malignant neoplasm of spinal meninges NOS"	67211
"B52X.00"	"Malignant neoplasm of meninges, unspecified"	49875
"BBbG.12"	"[M]Piloid astrocytoma"	98800
"ByuA200"	"[X]Malignant neoplasm of meninges, unspecified"	63925
"B51..00"	"Malignant neoplasm of brain"	18617
"B51..11"	"Cerebral tumour - malignant"	10851
"B510.00"	"Malignant neoplasm cerebrum (excluding lobes and ventricles)"	15711
"B510000"	"Malignant neoplasm of basal ganglia"	48073
"B510100"	"Malignant neoplasm of cerebral cortex"	61399
"B510300"	"Malignant neoplasm of globus pallidus"	99913
"B510400"	"Malignant neoplasm of hypothalamus"	70942
"B510500"	"Malignant neoplasm of thalamus"	62126
"B510z00"	"Malignant neoplasm of cerebrum NOS"	54133
"B511.00"	"Malignant neoplasm of frontal lobe"	42426
"B512.00"	"Malignant neoplasm of temporal lobe"	46792
"B512000"	"Malignant neoplasm of hippocampus"	67236
"B512z00"	"Malignant neoplasm of temporal lobe NOS"	47556
"B513.00"	"Malignant neoplasm of parietal lobe"	19226
"B514.00"	"Malignant neoplasm of occipital lobe"	39088
"B515.00"	"Malignant neoplasm of cerebral ventricles"	52511
"B515000"	"Malignant neoplasm of choroid plexus"	46789
"B516.00"	"Malignant neoplasm of cerebellum"	45154
"B517.00"	"Malignant neoplasm of brain stem"	44089
"B517000"	"Malignant neoplasm of cerebral peduncle"	64557
"B517100"	"Malignant neoplasm of medulla oblongata"	49132
"B517200"	"Malignant neoplasm of midbrain"	93537
"B517300"	"Malignant neoplasm of pons"	91240
"B517z00"	"Malignant neoplasm of brain stem NOS"	68641
"B51y.00"	"Malignant neoplasm of other parts of brain"	71139
"B51y000"	"Malignant neoplasm of corpus callosum"	59170
"B51yz00"	"Malignant neoplasm of other part of brain NOS"	100733
"B51z.00"	"Malignant neoplasm of brain NOS"	41520
"B52..00"	"Malig neop of other and unspecified parts of nervous system"	65458
"B542100"	"Malignant neoplasm of craniopharyngeal duct"	39899
"B542z00"	"Malig neop pituitary gland or craniopharyngeal duct NOS"	59718
"B543.00"	"Malignant neoplasm of pineal gland"	42460
"B544.00"	"Malignant neoplasm of carotid body"	57047
"B545.00"	"Malignant neoplasm of aortic body and other paraganglia"	50035
"B545000"	"Malignant neoplasm of glomus jugulare"	51795
"B546.00"	"Neuroblastoma"	100083
"BBTF.00"	"[M]Haemangioblastoma"	1969
"BBTF.11"	"[M]Angioblastoma"	41349
"BBb3.11"	"[M]Subependymal astrocytoma NOS"	90487
"BBb3.12"	"[M]Subependymal astrocytoma NOS"	28344
"BBb3.13"	"[M]Subependymoma"	50834
"BBb4.00"	"[M]Subependymal giant cell astrocytoma"	49168
"BBb7.00"	"[M]Ependymoma NOS"	20084
"BBb8.00"	"[M]Ependymoma, anaplastic type"	52751
"BBb9.00"	"[M]Papillary ependymoma"	70151
"BBbA.00"	"[M]Myxopapillary ependymoma"	43114
"BBbB.00"	"[M]Astrocytoma NOS"	8547
"BBbC.00"	"[M]Astrocytoma, anaplastic type"	8328
"BBbE.00"	"[M]Gemistocytic astrocytoma"	45531
"BBbF.00"	"[M]Fibrillary astrocytoma"	27846
"BBbG.00"	"[M]Pilocytic astrocytoma"	30273
"BBbG.11"	"[M]Juvenile astrocytoma"	61783
"BBbL.00"	"[M]Glioblastoma NOS"	23083
"BBbL.11"	"[M]Glioblastoma multiforme"	9575
"BBbM.00"	"[M]Giant cell glioblastoma"	66064
"BBbQ.00"	"[M]Oligodendroglioma NOS"	27744
"BBbR.00"	"[M]Oligodendroglioma, anaplastic type"	49186
"BBbS.00"	"[M]Oligodendroblastoma"	46404
"BBbT.00"	"[M]Medulloblastoma NOS"	34763
"BBbU.00"	"[M]Desmoplastic medulloblastoma"	65952
"BBbZ.00"	"[M]Pleomorphic xanthoastrocytoma"	67587
"BBba.00"	"[M]Primitive neuroectodermal tumour"	41695
"BBc7.11"	"[M]Neuroastrocytoma"	68479
"B51y200"	"Malignant neoplasm, overlapping lesion of brain"	65241
"B520.00"	"Malignant neoplasm of cranial nerves"	99621
"B520000"	"Malignant neoplasm of olfactory bulb"	64971
"B520100"	"Malignant neoplasm of optic nerve"	70126
"B520200"	"Malignant neoplasm of acoustic nerve"	65599
"B520z00"	"Malignant neoplasm of cranial nerves NOS"	101086
"B522.00"	"Malignant neoplasm of spinal cord"	51115
"B525.00"	"Malignant neoplasm of cauda equina"	9622
"B53..00"	"Malignant neoplasm of thyroid gland"	5637
"B540.00"	"Malignant neoplasm of adrenal gland"	28148
"B540.11"	"Phaeochromocytoma"	18231
"B540000"	"Malignant neoplasm of adrenal cortex"	61390
"B540100"	"Malignant neoplasm of adrenal medulla"	94220
"B540z00"	"Malignant neoplasm of adrenal gland NOS"	70824
"B541.00"	"Malignant neoplasm of parathyroid gland"	4218
"B542.00"	"Malignant neoplasm pituitary gland and craniopharyngeal duct"	59823
"B542000"	"Malignant neoplasm of pituitary gland"	8550
"1D18.00"	"Pain from metastases"	8600
"B153.00"	"Secondary malignant neoplasm of liver"	36147
"B56..00"	"Secondary and unspecified malignant neoplasm of lymph nodes"	9618
"B56..11"	"Lymph node metastases"	7830
"B560.00"	"Secondary and unspec malig neop lymph nodes head/face/neck"	49214
"B560000"	"Secondary and unspec malig neop of superficial parotid LN"	64918
"B560100"	"Secondary and unspec malignant neoplasm mastoid lymph nodes"	66775
"B560200"	"Secondary and unspec malig neop superficial cervical LN"	33395
"B560300"	"Secondary and unspec malignant neoplasm occipital lymph node"	65253
"B560400"	"Secondary and unspec malig neop deep parotid lymph nodes"	92703
"B560500"	"Secondary and unspec malig neop submandibular lymph nodes"	39433
"B560600"	"Secondary and unspec malig neop of facial lymph nodes"	28059
"B560700"	"Secondary and unspec malig neop submental lymph nodes"	38343
"B560800"	"Secondary and unspec malig neop anterior cervical LN"	44627
"B560900"	"Secondary and unspec malig neop deep cervical LN"	68611
"B561.00"	"Secondary and unspec malig neop intrathoracic lymph nodes"	64116
"B561000"	"Secondary and unspec malig neop internal mammary lymph nodes"	37919
"B561100"	"Secondary and unspec malig neop intercostal lymph nodes"	105953
"B561200"	"Secondary and unspec malig neop diaphragmatic lymph nodes"	95378
"B561300"	"Secondary and unspec malig neop ant mediastinal lymph nodes"	25366
"B561400"	"Secondary and unspec malig neop post mediastinal lymph nodes"	55463
"B561500"	"Secondary and unspec malig neop paratracheal lymph nodes"	58692
"B561600"	"Secondary and unspec malig neop superfic tracheobronchial LN"	67797
"B561700"	"Secondary and unspec malig neop inferior tracheobronchial LN"	69392
"B561800"	"Secondary and unspec malig neop bronchopulmonary lymph nodes"	62124
"B561900"	"Secondary and unspec malig neop pulmonary lymph nodes"	52190
"B561z00"	"Secondary and unspec malig neop intrathoracic LN NOS"	93716
"B562.00"	"Secondary and unspec malig neop intra-abdominal lymph nodes"	52736
"B562000"	"Secondary and unspec malig neop coeliac lymph nodes"	41691
"B562100"	"Secondary and unspec malig neop superficial mesenteric LN"	72713
"B562200"	"Secondary and unspec malig neop inferior mesenteric LN"	61677
"B562300"	"Secondary and unspec malig neop common iliac lymph nodes"	18658
"B562400"	"Secondary and unspec malig neop external iliac lymph nodes"	69132
"B562z00"	"Secondary and unspec malig neop intra-abdominal LN NOS"	44931
"B563.00"	"Secondary and unspec malig neop axilla and upper limb LN"	50199
"B563000"	"Secondary and unspec malig neop axillary lymph nodes"	37540
"B563100"	"Secondary and unspec malig neop supratrochlear lymph nodes"	98626
"B563200"	"Secondary and unspec malig neop infraclavicular lymph nodes"	50904
"B563300"	"Secondary and unspec malig neop pectoral lymph nodes"	46409
"B563z00"	"Secondary and unspec malig neop axilla and upper limb LN NOS"	73538
"B564.00"	"Secondary and unspec malig neop inguinal and lower limb LN"	63915
"B564000"	"Secondary and unspec malig neop superficial inguinal LN"	54278
"B564100"	"Secondary and unspec malig neop deep inguinal lymph nodes"	61289
"B564z00"	"Secondary and unspec malig neop of inguinal and leg LN NOS"	70747
"B565.00"	"Secondary and unspec malig neop intrapelvic lymph nodes"	6701
"B565000"	"Secondary and unspec malig neop internal iliac lymph nodes"	84368
"B565200"	"Secondary and unspec malig neop circumflex iliac LN"	101662
"B565300"	"Secondary and unspec malig neop sacral lymph nodes"	47366
"B565z00"	"Secondary and unspec malig neop intrapelvic LN NOS"	72803
"B56y.00"	"Secondary and unspec malig neop lymph nodes multiple sites"	20159
"B56z.00"	"Secondary and unspec malig neop lymph nodes NOS"	15507
"B57..00"	"Secondary malig neop of respiratory and digestive systems"	35053
"B57..11"	"Metastases of respiratory and/or digestive systems"	6471
"B570.00"	"Secondary malignant neoplasm of lung"	4137
"B571.00"	"Secondary malignant neoplasm of mediastinum"	51551
"B572.00"	"Secondary malignant neoplasm of pleura"	16213
"B573.00"	"Secondary malignant neoplasm of other respiratory organs"	62584
"B574.00"	"Secondary malignant neoplasm of small intestine and duodenum"	64680
"B574000"	"Secondary malignant neoplasm of duodenum"	55946
"B574100"	"Secondary malignant neoplasm of jejunum"	110433
"B574200"	"Secondary malignant neoplasm of ileum"	99511
"B574z00"	"Secondary malig neop of small intestine or duodenum NOS"	70026
"B575.00"	"Secondary malignant neoplasm of large intestine and rectum"	44529
"B575000"	"Secondary malignant neoplasm of colon"	28727
"B575100"	"Secondary malignant neoplasm of rectum"	62909
"B575z00"	"Secondary malig neop of large intestine or rectum NOS"	36200
"B576.00"	"Secondary malig neop of retroperitoneum and peritoneum"	67396
"B576000"	"Secondary malignant neoplasm of retroperitoneum"	35364
"B576100"	"Secondary malignant neoplasm of peritoneum"	27391
"B576z00"	"Secondary malig neop of retroperitoneum or peritoneum NOS"	97672
"B577.00"	"Secondary malignant neoplasm of liver"	15103
"B577.11"	"Liver metastases"	4403
"B57y.00"	"Secondary malignant neoplasm of other digestive organ"	56345
"B57z.00"	"Secondary malig neop of respiratory or digestive system NOS"	66083
"B58..00"	"Secondary malignant neoplasm of other specified sites"	5842
"B580.00"	"Secondary malignant neoplasm of kidney"	1952
"B581.00"	"Secondary malignant neoplasm of other urinary organs"	73213
"B581000"	"Secondary malignant neoplasm of ureter"	60134
"B581100"	"Secondary malignant neoplasm of bladder"	22146
"B581200"	"Secondary malignant neoplasm of urethra"	53528
"B581z00"	"Secondary malignant neoplasm of other urinary organ NOS"	62828
"B582.00"	"Secondary malignant neoplasm of skin"	19945
"B582000"	"Secondary malignant neoplasm of skin of head"	43930
"B582100"	"Secondary malignant neoplasm of skin of face"	100296
"B582200"	"Secondary malignant neoplasm of skin of neck"	35999
"B582300"	"Secondary malignant neoplasm of skin of trunk"	41144
"B582400"	"Secondary malignant neoplasm of skin of shoulder and arm"	63896
"B582500"	"Secondary malignant neoplasm of skin of hip and leg"	48828
"B582600"	"Secondary malignant neoplasm of skin of breast"	9505
"B582z00"	"Secondary malignant neoplasm of skin NOS"	55096
"B583.00"	"Secondary malignant neoplasm of brain and spinal cord"	33843
"B583000"	"Secondary malignant neoplasm of brain"	5198
"B583100"	"Secondary malignant neoplasm of spinal cord"	38918
"B583200"	"Cerebral metastasis"	5199
"B583z00"	"Secondary malignant neoplasm of brain or spinal cord NOS"	59375
"B584.00"	"Secondary malignant neoplasm of other part of nervous system"	54120
"B585.00"	"Secondary malignant neoplasm of bone and bone marrow"	7654
"B585000"	"Pathological fracture due to metastatic bone disease"	18676
"B586.00"	"Secondary malignant neoplasm of ovary"	44615
"B587.00"	"Secondary malignant neoplasm of adrenal gland"	36401
"B58y.00"	"Secondary malignant neoplasm of other specified sites"	18616
"B58y000"	"Secondary malignant neoplasm of breast"	16760
"B58y100"	"Secondary malignant neoplasm of uterus"	55090
"B58y200"	"Secondary malignant neoplasm of cervix uteri"	73616
"B58y211"	"Secondary cancer of the cervix"	97832
