v1	medcode	readcode	clinicalevents	readterm
496	68888	"P65..11"	3	"Duroziez's disease"
271	67045	"790A300"	53	"Atrial septectomy"
214	18395	"P55y.11"	382	"Other specified atrial septal defect"
137	7696	"G33z200"	99	"Syncope anginosa"
370	61100	"P51y.11"	12	"Transposition of aorta"
212	31084	"790A100"	93	"Open atrial septostomy"
571	67657	"P542.00"	6	"Left ventricle to right atrial communication"
249	41197	"P74z300"	49	"Stenosis of superior vena cava"
619	114292	"G54z200"	1	"Chronic cardiac valvulitis NOS"
189	2818	"7932z00"	245	"Open operation on heart NOS"
47	3774	"P6y6000"	1790	"Dextrocardia"
385	49272	"Gyu5600"	40	"[X]Other aortic valve disorders"
597	98383	"7904200"	3	"Left ventricle aorta tunnel right ventricle pul art val con"
485	57091	"P65..00"	64	"Congenital mitral stenosis"
144	57932	"P710.00"	51	"Hypoplasia of aortic arch, unspecified"
171	36416	"PK33.00"	106	"Complete situs inversus with dextrocardia"
29	25735	"7A1z.00"	342	"Aorta operations NOS"
517	69589	"P721111"	8	"Overriding aorta"
392	100622	"P51z.11"	3	"Transposition of arterial trunk NEC"
537	107122	"790K100"	7	"Repair of Fallot-type double outlet right ventricle"
602	103939	"7909z11"	1	"Repair of defect of unspecified septum of heart NOS"
488	69200	"7903y00"	8	"Atrial inversion op for transposition of great vessels OS"
326	38299	"G543213"	18	"Pulmonary insufficiency, cause unspecified"
609	111360	"P6yyB00"	1	"Supernumerary heart valve cusps NEC"
30	3301	"P71..00"	5723	"Coarctation of aorta"
507	93561	"P601z00"	10	"Congenital atresia of pulmonary valve NOS"
422	47853	"P736.11"	20	"Pulmonary arterio-venous fistula"
115	45910	"P7X..00"	89	"Congenital malformation of great arteries, unspecified"
146	37515	"P722200"	56	"Hypoplasia of aorta"
45	6077	"G543215"	1562	"Pulmonary regurgitation, cause unspecified"
540	111039	"7906411"	6	"Primary repair of defect of atrioventricular septum NEC"
310	92426	"P6y6z00"	3	"Heart or cardiac apex malposition NOS"
263	71046	"G41yz00"	24	"Other chronic pulmonary heart disease NOS"
568	100291	"P65z.00"	5	"Congenital mitral stenosis NOS"
280	28684	"G233.00"	56	"Hypertensive heart and renal disease with renal failure"
408	52607	"P60z100"	58	"Fallot's trilogy"
433	70561	"7A04000"	4	"Creation of aortopulmonary window"
308	63297	"9RD0.00"	37	"Transfer of care from paediatric congenital heart service"
32	16539	"P6y0.00"	632	"Subaortic stenosis"
593	99077	"Gyu1200"	3	"[X]Other tricuspid valve diseases"
570	108021	"790Jz00"	5	"Other repair of transposition of great arteries NOS"
624	115703	"7907411"	1	"Revision of repair of defect of interatrial septum"
20	15769	"793Ez00"	516	"Other operation on heart NOS"
406	69940	"P600.00"	33	"Pulmonary valve anomaly, unspecified"
589	73663	"P74z.00"	3	"Other great vein anomalies"
48	16292	"G21..00"	4565	"Hypertensive heart disease"
239	88842	"7902400"	24	"Repair of tetralogy of Fallot using transannular patch"
9	1005	"G541212"	11626	"Aortic regurgitation alone, cause unspecified"
601	112436	"7902y11"	1	"Other specified repair of tetralogy of Fallot"
321	50983	"G112.12"	16	"Mitral stenosis with incompetence"
460	65401	"7902y00"	12	"Other specified correction of tetralogy of Fallot"
11	14723	"G543100"	1782	"Pulmonary stenosis, non-rheumatic"
420	93161	"P561.11"	5	"Persistent ostium primum"
185	50626	"7908100"	23	"Close defect interventricular septum using pericardial patch"
17	247	"P6z..00"	2673	"Congenital heart anomaly NOS"
251	4964	"P50..00"	65	"Common aorto-pulmonary trunk"
282	50157	"G210.00"	37	"Malignant hypertensive heart disease"
33	10187	"G541012"	7080	"Aortic regurgitation, non-rheumatic"
435	30705	"7918200"	24	"Annuloplasty of valve of heart NEC"
499	69021	"7903100"	1	"Atrium reconstruction atrial wall for transpos great vessels"
544	107496	"Pyu2G00"	3	"[X]Congenital malformation of tricuspid valve, unspecified"
79	26626	"P6z0.00"	111	"Unspecified anomaly of heart valve"
578	73592	"P651.00"	2	"Fused commissure of the mitral valve"
418	37816	"P552.00"	22	"Persistent ostium secundum"
316	88713	"7A6K100"	30	"Percutaneous transluminal balloon angioplasty pulmonary vein"
295	18982	"P733.00"	24	"Coarctation of the pulmonary artery"
378	44781	"P72z.00"	49	"Other anomalies of aorta NOS"
582	100065	"P61z.00"	2	"Congenital tricuspid atresia or stenosis NOS"
471	65024	"790Cz00"	6	"Therapeutic transluminal operation on septum of heart NOS"
202	31085	"7903.11"	50	"Mustard interatrial tr venous return"
287	31518	"P5...00"	155	"Bulbus cordis and cardiac septal closure anomalies"
38	104307	"2126800"	235	"Ostium secundum atrial septal defect resolved"
426	57271	"7908y00"	9	"Other specified closure of defect of interventricular septum"
319	32508	"P738.00"	86	"Atresia of pulmonary artery with septal defect"
174	36638	"7910.11"	392	"Mitral valvuloplasty"
506	93989	"790C300"	5	"Percutaneous transluminal atrial septum fenestration"
273	40582	"G544000"	140	"Disorders of both aortic and tricuspid valves"
421	101896	"P6yy411"	2	"Congenital absence of pericardium"
483	65318	"P511z00"	4	"Double outlet right ventricle NOS"
201	30949	"P721100"	31	"Dextraposition of aorta"
397	112504	"7908z11"	4	"Repair of defect of interventricular septum NOS"
379	68551	"7A08y00"	15	"Other specified repair of pulmonary artery"
477	103641	"790N100"	9	"Repair of double chambered right ventricle"
456	49279	"P712.13"	2	"Postductal aortic stenosis"
542	59298	"P722100"	1	"Aplasia of aorta"
31	1885	"G110.00"	13826	"Mitral stenosis"
396	93089	"P6yy000"	6	"Atresia of cardiac vein"
495	111389	"P735.11"	4	"Congenital stricture of pulmonary artery"
264	101520	"P74z000"	11	"Absence of inferior vena cava"
154	3863	"P6z3.00"	388	"Cyanotic congenital heart disease NOS"
550	53626	"7900000"	2	"Allotransplantation of heart and lung"
286	9361	"P59..00"	86	"Isomerism of atrial appendages"
415	53088	"P55y.00"	87	"Other specified ostium secundum atrial septal defect"
461	61794	"7A00300"	31	"Closure of aortopulmonary window"
329	89579	"G54z014"	5	"Insufficiency of unspecified heart valve"
502	103672	"P731.11"	4	"Congenital absence of pulmonary artery"
402	98240	"790C.00"	12	"Therapeutic transluminal operations on septum of heart"
114	19019	"G541z00"	1701	"Aortic valve disorders NOS"
512	105154	"7905y00"	2	"Correction of total anomalous pulmonary venous connection OS"
324	56200	"P72z100"	36	"Congenital aneurysm of aorta"
431	105037	"P741000"	1	"Subdiaphragmatic total anomalous pulmonary venous return"
345	43049	"P56z100"	33	"Common atrioventricular canal"
200	59012	"7909100"	25	"Closure defect of heart septum using pericardial patch NEC"
179	71635	"7402A00"	54	"Septal reconstruction with cartilage graft"
225	38968	"P6z2.00"	75	"Acyanotic congenital heart disease NOS"
126	46530	"P721200"	101	"Double aortic arch"
19	2669	"G543300"	4418	"Pulmonary stenosis, cause unspecified"
564	72939	"7901100"	6	"Xenotransplantation of heart"
184	3864	"7908z00"	627	"Closure of defect of interventricular septum NOS"
163	24714	"P6yyz00"	59	"Other specified heart anomalies NOS"
356	45291	"P740.00"	24	"Anomaly of great veins, unspecified"
612	112420	"P602000"	1	"Congenital fusion of pulmonic cusps"
439	51675	"P74z200"	21	"Stenosis of inferior vena cava"
186	54488	"P601000"	43	"Hypoplasia of pulmonary valve"
272	51112	"7A0z.00"	29	"Great vessel and pulmonary artery operations NOS"
279	46825	"P6W..00"	50	"Congenital malformation of aortic and mitral valves unsp"
416	93264	"790A600"	9	"Surgical atrial septation"
165	24854	"P6yy.00"	89	"Other specified heart anomalies"
524	98443	"790K200"	12	"Repair of double outlet right ventricle"
127	67046	"7A18600"	62	"Repair of interrupted aortic arch"
350	89968	"7903.13"	26	"Atrial inversion operations for transposition of great art"
399	68982	"P603.11"	2	"Pseudotruncus arteriosus"
306	10047	"P736.12"	49	"Pulmonary arterio-venous malformation"
172	96199	"7912511"	40	"Tricuspid valve repair NEC"
178	46294	"G41..00"	328	"Chronic pulmonary heart disease"
289	15640	"G543011"	15	"Pulmonary insufficiency, non-rheumatic"
14	3300	"P641.00"	7448	"Bicuspid aortic valve"
398	70853	"P712.00"	10	"Postductal coarctation of aorta"
25	3169	"791z.00"	1323	"Heart valve and adjacent structures operations NOS"
26	6886	"P63..00"	5921	"Congenital aortic valve stenosis"
464	94683	"791Cy00"	14	"Other specified operations on aortic root"
473	68784	"P741z00"	27	"Total anomalous pulmonary venous return NOS"
330	57141	"7A1A.00"	19	"Transluminal operations on aorta"
210	53696	"7919000"	22	"Percutaneous transluminal mitral valvotomy"
301	33262	"G132.00"	177	"Mitral insufficiency and aortic stenosis"
221	17175	"14H1.11"	527	"H/O: heart anomaly"
